Sr. No.,Scrip Code,Name of Company,,
486,500380,JK Lakshmi Cement Limited,,
487,532439,OLECTRA GREENTECH LIMITED,,
488,538962,Minda Corporation Limited,,
489,500133,Esab India Ltd.,,
490,543321,Tatva Chintan Pharma Chem Limited,,
491,541233,Lemon Tree Hotels Limited,,
492,543213,ROSSARI BIOTECH LIMITED,,
493,543524,Rainbow Children's Medicare Limited,,
494,543276,Craftsman Automation Limited,,
495,500210,Ingersoll-Rand (India) Ltd.,,
496,524230,Rashtriya Chemicals & Fertilizers Limited,,
497,509966,"VST Industries Ltd.,",,
498,500249,KSB LIMITED,,
499,532627,Jaiprakash Power Ventures Limited,,
500,532859,Hinduja Global Solutions Limited,,
501,543270,MTAR Technologies Limited,,
502,523398,Johnson Controls-Hitachi Air Conditioning India Ltd.,,
503,533088,Mahindra Holidays & Resorts India Limited,,
504,532509,Suprajit Engineering Ltd.,,
505,532734,GODAWARI POWER AND ISPAT LTD.,,
506,500227,Jindal Poly Films Ltd.,,
507,509631,HEG Ltd.,,
508,532939,Reliance Power Limited,,
509,520051,"Jamna Auto Industries Ltd.,",,
510,543280,Nazara Technologies Limited,,
511,500878,"Ceat Ltd.,",,
512,505890,Kennametal India Limtied,,
513,500148,Uflex Limited,,
514,538730,PDS LIMITED,,
515,539807,INFIBEAM AVENUES LIMITED,,
516,543283,BARBEQUE-NATION HOSPITALITY LIMITED,,
517,531599,FDC Ltd.,,
518,500266,"Maharashtra Scooters Ltd.,",,
519,500355,Rallis India Ltd,,
520,519126,"Hindustan Foods Ltd.,",,
521,500292,HeidelbergCement  India Limited,,
522,540678,Cochin Shipyard Limited,,
523,506590,PCBL LIMITED,,
524,500265,Maharashtra Seamless Ltd.,,
525,538979,Greenlam Industries Ltd,,
526,500730,NOCIL Ltd,,
527,524735,Hikal Ltd.,,
528,532642,JSW Holdings Limited,,
529,524348,Aarti Drugs Limited,,
530,541700,TCNS Clothing Co. Limited,,
531,543325,Rolex Rings Limited,,
532,532915,Religare Enterprises Ltd,,
533,533248,Gujarat Pipavav Port Limited,,
534,505355,Nesco Ltd,,
535,505509,Responsive Industries Ltd,,
536,532301,Tata Coffee Ltd,,
537,543350,Vijaya Diagnostic Centre Limited,,
538,543428,Data Patterns (India) Limited,,
539,517146,Usha Martin Ltd.,,
540,543399,Tarsons Products Limited,,
541,540725,Share India Securities Limited,,
542,539787,HealthCare Global Enterprises Limited,,
543,500294,NCC Limited,,
544,543441,CMS Info Systems Limited,,
545,501455,Greaves Cotton Ltd.,,
546,532835,ICRA Limited,,
547,505726,IFB Industries Limited,,
548,540073,BLS International Services Ltd,,
549,532832,Indiabulls Real Estate Limited,,
550,539871,Thyrocare Technologies Limited,,
551,500110,Chennai Petroleum Corporation Ltd.,,
552,533033,ISGEC Heavy Engineering Limited,,
553,541956,IRCON International Ltd,,
554,541019,H.G. Infra Engineering Limited,,
555,543212,Borosil Limited,,
556,542665,Neogen Chemicals Limited,,
557,543530,Paradeep Phosphates Limited,,
558,532300,Wockhardt Ltd,,
559,517522,Rajratan Global Wire Ltd,,
560,504966,"Tinplate Company of India Ltd.,",,
561,540575,Star Cement Limited,,
562,530549,Shilpa Medicare Ltd.,,
563,543358,Sansera Engineering Limited,,
564,542484,Arvind Fashions Limited,,
565,543489,Gateway Distriparks Limited,,
566,532178,Engineers India Ltd.,,
567,533138,ASTEC LIFESCIENCES LIMITED,,
568,542867,CSB Bank Limited,,
569,543349,Ami Organics Limited,,
570,504614,Sarda Energy & Minerals Ltd,,
571,540047,Dilip Buildcon Limited,,
572,533169,MAN INFRACONSTRUCTION LIMITED,,
573,500307,"Nirlon Limited,",,
574,532612,Indoco Remedies Ltd.,,
575,526947,La Opala RG Ltd.,,
576,539844,Equitas Holdings Limited,,
577,540768,Mahindra Logistics Limited,,
578,533286,MOIL Limited,,
579,533104,Globus Spirits Limited,,
580,543417,RateGain Travel Technologies Limited,,
581,506655,"Sudarshan Chemical Indus. Ltd.,",,
582,507717,Dhanuka Agritech Ltd.,,
583,541195,Mishra Dhatu Nigam Limited,,
584,500097,Dalmia Bharat Sugar and Industries Ltd,,
585,532900,PAISALO DIGITAL LIMITED,,
586,533552,RUPA & COMPANY LIMITED,,
587,532259,Apar Industries Ltd,,
588,540025,Advanced Enzyme Technologies Limited,,
589,511431,Vakrangee Limited,,
590,532899,Kaveri Seed Company Ltd,,
591,533162,Hathway Cable & Datacom Limited,,
592,540749,MAS Financial Services Limited,,
593,543434,Supriya Lifescience Limited,,
594,543242,Hemisphere Properties India Limited,,
595,543265,RailTel Corporation of India Limited,,
596,543413,Tega Industries Limited,,
597,532960,Dhani Services Limited,,
598,500041,"Bannari Amman Sugars Ltd.,",,
599,543311,India Pesticides Limited,,
600,500184,Himadri Speciality Chemical Ltd.,,
601,500245,Kirloskar Ferrous Industries Ltd.,,
602,542141,Techno Electric & Engineering Company Limited,,
603,500123,Elantas Beck India Ltd,,
604,532742,PAUSHAK LIMITED (formerly known as Darshak Limited),,
605,543331,Meghmani Organics Limited,,
606,523385,Nilkamal Limited,,
607,532531,STRIDES PHARMA SCIENCE LIMITED,,
608,513010,TATA STEEL LONG PRODUCTS LIMITED,,
609,542904,Ujjivan Small Finance Bank Limited,,
610,512529,Sequent Scientific Limited,,
611,532811,Ahluwalia Contracts (India) Ltd,,
612,521016,Indo Count Industries Ltd,,
613,500390,Reliance Infrastructure Ltd,,
614,523261,Venky's (India) ltd.,,
615,508814,Cosmo First Limited,,
616,500285,SpiceJet Limited,,
617,542011,Garden Reach Shipbuilders & Engineers Limited,,
618,532189,India Tourism Development Corporati,,
619,540900,Newgen Software Technologies Limited,,
620,533095,Bengal & Assam Company Limited,,
621,543306,Dodla Dairy Limited,,
622,530007,JK Tyre & Industries Ltd.,,
623,543333,CarTrade Tech Limited,,
624,500413,"Thomas Cook (India) Ltd.,",,
625,532209,Jammu and Kashmir Bank Ltd.,,
626,504918,"Sandur Manganese & Iron Ores Ltd.,",,
627,532735,R Systems International Limited,,
628,541403,Dollar Industries Limited,,
629,505283,Kirloskar Pneumatic Co.Ltd.,,
630,508486,Hawkins Cooker Ltd.,,
631,542759,Spandana Sphoorty Financial Limited,,
632,519091,"Tasty Bite Eatables Ltd.,",,
633,500378,Jindal Saw Ltd.,,
634,509675,HIL Limited,,
635,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,,
636,532527,ramkrishna forgings Ltd.,,
637,500101,"Arvind Ltd.,",,
638,522275,GE T&D India Limited,,
639,500201,India Glycols Ltd,,
640,523694,Apcotex Industries Limited,,
641,505700,"Elecon Engineering Co.Ltd.,",,
642,513023,NAVA LIMITED,,
643,526642,Mirza International  Limited,,
644,539177,Authum Investment & Infrastructure Limited,,
645,543415,Anand Rathi Wealth Limited,,
646,531548,Somany Ceramics Limited,,
647,532783,LT Foods Limited,,
648,531449,GRM Overseas Ltd.,,
649,526807,Seamec Ltd,,
650,532762,Action Construction Equipments Ltd.,,
651,500214,Ion Exchange (India) Ltd,,
652,535754,ORIENT CEMENT LIMITED,,
653,505010,"Automotive Axles Ltd.,",,
654,502090,Sagar Cements Ltd,,
655,500412,"Thirumalai Chemicals Ltd.,",,
656,530135,Optiemus Infracom Limited,,
657,513262,Steel Strips & Wheels Ltd,,
658,532772,DCB Bank Limited,,
659,532839,Dish TV India Limited,,
660,532967,KIRI INDUSTRIES LIMITED,,
661,532524,PTC India Ltd,,
662,526227,Filatex India Ltd.,,
663,543367,Paras Defence and Space Technologies Limited,,
664,500463,BLACK BOX LIMITED,,
665,533080,Mold-Tek Packaging Limited,,
666,517421,Butterfly Gandhimathi Appliances Limited,,
667,506642,"Sadhana Nitrochem Ltd.,",,
668,532757,VOLTAMP TRANSFORMERS LIMITED,,
669,523630,"National Fertilizers Ltd.,",,
670,503811,"Siyaram Silk Mills Ltd.,",,
671,500186,Hindustan Oil Exploration Co. Ltd.,,
672,500241,"Kirloskar Brothers Ltd.,",,
673,500444,West Coast Paper Mills Limited,,
674,533122,RattanIndia Power Limited,,
675,542773,IIFL Securities Limited,,
676,532804,Technocraft Industries (India) Ltd.,,
677,542905,Hindware Home Innovation Limited,,
678,531508,Eveready Industries India Ltd.,,
679,513434,Tata Metaliks Ltd,,
680,543266,Heranba Industries Limited,,
681,532891,Puravankara Limited,,
682,532375,Tips Industries Limited,,
683,526367,Ganesh Housing Corporation Ltd.,,
684,539083,Inox Wind Limited,,
685,500219,"Jain Irrigation Systems Ltd.,",,
686,532630,Gokaldas Exports Ltd,,
687,533229,BAJAJ CONSUMER CARE LIMITED,,
688,526797,Greenply Industries Ltd,,
689,543533,eMudhra Limited,,
690,533271,Ashoka Buildcon Limited,,
691,508989,Navneet Education Limited,,
692,500119,"Dhampur Sugar Mills Ltd.,",,
693,523025,"Safari Industries (India) Ltd.,",,
694,522285,Jayaswal Neco Industries Ltd,,
695,543527,Prudent Corporate Advisory Services Limited,,
696,500168,"Goodyear India Ltd.,",,
697,532748,Prime Focus Limited,,
698,517271,HBL Power Systems Ltd.,,
699,539006,PTC Industries Ltd.,,
700,524164,IOL Chemicals & Pharmaceuticals Ltd,,
701,535602,Sharda Motor Industries Ltd,,
702,500106,IFCI Ltd.,,
703,543386,Fino Payments Bank Limited,,
704,540701,Dishman Carbogen Amcis Limited,,
705,531266,V.S.T.Tillers Tractors Ltd.,,
706,520113,Vesuvius India Ltd.,,
707,533293,Kirloskar Oil Engines Limited,,
708,500336,"Surya Roshni Ltd.,",,
709,539660,BEST AGROLIFE LIMITED,,
710,532856,Time Technoplast Limited,,
711,541336,IndoStar Capital Finance Limited,,
712,533333,Fineotex Chemical Limited,,
713,532610,Dwarikesh Sugar Industries Ltd.,,
714,512237,Jai Corp Limited,,
715,500185,"Hindustan Construction Co. Ltd.,",,
716,500020,"Bombay Dyeing & Mfg. Co. Ltd.,",,
717,538567,Gulf Oil Lubricants India Limited,,
718,522241,M.M.Forgings Ltd.,,
719,517168,"Subros Ltd.,",,
720,543532,ETHOS LIMITED,,
721,532532,Jaiprakash Associates Limited,,
722,530343,Genus Power Infrastructures Ltd,,
723,533282,GRAVITA INDIA LIMITED,,
724,532493,Astra Microwave Products Ltd.,,
725,532684,Everest Kanto Cylinders Ltd.,,
726,500128,"Electrosteel Castings Ltd.,",,
727,532652,Karnataka Bank Ltd.,,
728,531717,Vidhi Specialty Food Ingredients Limited,,
729,500199,IG Petrochemicals Ltd,,
730,500215,Agro Tech Foods Ltd,,
731,543252,Fairchem Organics Limited,,
732,532924,Kolte-Patil Developers Ltd,,
733,524404,Marksans Pharma Ltd.,,
734,542597,MSTC Limited,,
735,500078,ORIENTAL AROMATICS LIMITED,,
736,524669,Hester Biosciences Ltd,,
737,539450,S H Kelkar and Company Limited,,
738,540544,PSP Projects Limited,,
739,540145,Valiant Organics Limited,,
740,523319,"Balmer Lawrie & Co. Ltd.,",,
741,500052,"Bhansali Engineering Polymers Ltd.,",,
742,543260,STOVE KRAFT LIMITED,,
743,540717,Polo Queen Industrial and Fintech Limited ,,
744,531761,APOLLO PIPES LIMITED,,
745,506852,"Punjab Alkalies & Chemicals Ltd.,",,
746,520057,JTEKT India Limited,,
747,533160,D B REALTY LIMITED,,
748,540602,GTPL Hathway Limited,,
749,500250,L.g.Balkrishnan & Bros. Ltd.,,
750,532515,T.V.Today Network Limited,,
751,532940,J. Kumar Infraprojects Limited,,
752,500288,Morepen Laboratories Ltd.,,
753,539883,Pilani Investment And Industries Corporation Limited,,
754,506235,Alembic  Ltd,,
755,532345,Gati Limited,,
756,506690,"Unichem Laboratories Ltd.,",,
757,532834,Camlin Fine Sciences Ltd,,
758,516072,Vishnu Chemicals Limited,,
759,500268,"Manali Petrochemicals Ltd.,",,
760,515055,Anant Raj Limited,,
761,500407,Swaraj Engines Ltd.,,
762,533047,Indian Metals & Ferro Alloys Limited,,
763,541167,YASHO INDUSTRIES LIMITED,,
764,524091,Acrysil Ltd.,,
765,541540,SOLARA ACTIVE PHARMA SCIENCES LIMITED,,
766,532348,Subex  Ltd,,
767,543253,Mrs. Bectors Food Specialities Limited,,
768,505714,Gabriel India Ltd.,,
769,500032,Bajaj Hindusthan Sugar Limited,,
770,533267,CANTABIL RETAIL INDIA LIMITED,,
771,532775,GTL Infrastructure Limited,,
772,532486,Pokarna Ltd.,,
773,513097,"Shivalik Bimetal Controls Ltd.,",,
774,509079,Gufic BioSciences Ltd.,,
775,500207,"Indo Rama Synthetics (India) Ltd.,",,
776,501423,Shaily Engineering Plastics Ltd.,,
777,533137,DEN Networks Limited,,
778,532528,Datamatics Global Services Limited,,
779,539874,Ujjivan Financial Services Limited,,
780,532369,Ramco Industries Ltd,,
781,506109,Genesys International Corporation Ltd.,,
782,540704,Matrimony.com Limited,,
783,533581,PG Electroplast Limited,,
784,522249,Mayur Uniquoters ltd.,,
785,524820,Panama Petrochem Ltd.,,
786,500460,"Mukand Ltd.,",,
787,500187,AGI GREENPAC LIMITED,,
788,538970,WARDWIZARD INNOVATIONS AND MOBILITY LIMITED,,
789,500650,"Excell Industries Ltd.,",,
790,500655,GARWARE HI-TECH FILMS LIMITED,,
791,532880,OMAXE LIMITED,,
792,543328,Krsnaa Diagnostics Limited,,
793,523323,Kovai Medical Center & Hospital Ltd,,
794,522034,"Shanthi Gears Ltd.,",,
795,531358,Choice International Ltd,,
796,532218,South Indian Bank Ltd.,,
797,526951,Stylam Industries Limited,,
798,540425,Shankara Building Products Limited,,
799,540724,Prataap Snacks Limited,,
800,534748,Steel Exchange India Ltd.,,
801,532732,Kewal Kiran Clothing Ltd.,,
802,526829,Confidence Petroleum India Limited,,
803,533269,VA Tech Wabag Limited,,
804,506618,Punjab Chemicals and Crop Protection Ltd.,,
805,521248,Kitex Garmenets Ltd.,,
806,540293,Pricol Limited,,
807,524667,Savita Oil Technologies Limited,,
808,526729,Goldiam International Ltd.,,
809,532851,Insecticides India Ltd.,,
810,543490,GMR Power and Urban Infra Limited,,
811,532705,Jagran Prakashan Limited,,
812,500672,Novartis India Limited.,,
813,500404,"Sunflag Iron & Steel Co. Ltd.,",,
814,524709,NACL Industries Limited,,
815,519105,AVT Natural Products Ltd.,,
816,506222,INEOS Styrolution India Limited,,
817,532768,FIEM INDUSTRIES LIMITED,,
818,505744,Federal-Mogul Goetze (India) Ltd,,
819,519183,ADF Foods Limited.,,
820,539940,Max Ventures and Industries Limited,,
821,533151,D.B.Corp Limited,,
822,504112,Nelco Ltd,,
823,524558,Neuland Laboratories Limited.,,
824,533158,Thangamayil Jewellery Limited,,
825,500296,"Nahar Spinning Mills Ltd.,",,
826,534809,PC JEWELLER LIMITED,,
827,533339,Zen Technologies Ltd.,,
828,532479,ISMT Limited,,
829,542333,RPSG VENTURES LIMITED,,
830,500108,"Mahanagar Telephone Nigam Ltd.,",,
831,522064,HONDA INDIA POWER PRODUCTS LIMITED,,
832,532457,Gulshan Polyols Ltd.,,
833,523716,Ashiana Housing Limited,,
834,514167,Ganesha Ecosphere Limited,,
835,532268,ACCELYA SOLUTIONS INDIA LIMITED,,
836,541163,Sandhar Technologies Limited,,
837,505710,"Grauer & Weil (India) Ltd.,",,
838,534804,CARE Ratings Limited,,
839,532529,New Delhi Television Limited,,
840,500243,Kirloskar Industries Ltd,,
841,533121,EXPLEO SOLUTIONS LIMITED,,
842,519552,Heritage Foods Limited,,
843,533326,Texmaco Rail & Engineering Limited,,
844,539302,Power Mech Projects Limited,,
845,500033,Force Motors Limited,,
846,532553,Welspun Enterprises Limited,,
847,523445,Reliance Industrial Infrastructure,,
848,532944,OnMobile Global Ltd.,,
849,538268,Wonderla Holidays Limited,,
850,533553,TD Power Systems Ltd,,
851,513446,JSW ISPAT SPECIAL PRODUCTS LIMITED,,
852,522263,JMC Projects (india) Ltd.,,
853,505412,"Wendt (India) Ltd.,",,
854,539221,Sportking India Ltd.,,
855,509243,"TVS Srichakra Ltd.,",,
856,531426,Tamil Nadu Newsprint And Papers Ltd,,
857,541974,Manorama Industries Limited,,
858,506480,GOCL Corporation Limited,,
859,505526,DOLAT ALGOTECH LIMITED,,
860,500189,NXTDIGITAL LIMITED ,,
861,502330,ANDHRA PAPER LIMITED,,
862,532966,Titagarh Wagons Ltd,,
863,534758,Cigniti Technologies Ltd,,
864,519156,"Vadilal Industries Ltd.,",,
865,532285,Geojit Financial Services Limited,,
866,509820,HUHTAMAKI INDIA LIMITED,,
867,500235,Kalyani Steels Ltd,,
868,539725,Gokul Agro Resources Ltd,,
869,534600,JTL INFRA LIMITED,,
870,543514,Veranda Learning Solutions Limited,,
871,543387,S.J.S. Enterprises Limited,,
872,532923,RENAISSANCE GLOBAL LIMITED,,
873,532796,Lumax Auto Technologies Ltd.,,
874,538836,Monte Carlo Fashions Limited,,
875,514234,Sangam (India) Ltd,,
876,505242,"Dynamatic Technologies Ltd.,",,
877,531847,Asian Star Co. Ltd.,,
878,532698,Nitin Spinners Ltd.,,
879,502937,Kesoram Industries Ltd,,
880,524372,Orchid Pharma Limited,,
881,532430,BF Utilities Ltd.,,
882,514043,"Himatsingka Seide Ltd.,",,
883,540797,Shalby Limited,,
884,539992,LLOYDS STEELS INDUSTRIES LIMITED,,
885,502450,"Seshasayee Paper & Boards Ltd.,",,
886,517300,Gujarat Industries Power Co. Ltd,,
887,532663,Sasken Technologies Limited,,
888,540649,AVADH SUGAR & ENERGY LIMITED,,
889,523127,"EIH Associated Hotels Ltd.,",,
890,524019,Kingfa Science & Technology (India) Ltd,,
891,530367,NRB Bearings Ltd.,,
892,524109,Kabra Extrusion Technik Ltd,,
893,543419,Shriram Properties Limited,,
894,517015,"Vindhya Telelinks Ltd.,",,
895,530011,Mangalore Chemicals & Fertilisers L,,
896,539921,Shanti Educational Initiatives Limited,,
897,509496,ITD Cementation India Ltd,,
898,539148,Shivalik Rasayan Ltd.,,
899,500333,"Pix Transmissions Ltd.,",,
900,519588,DFM Foods Ltd.,,
901,500191,HMT Limited,,
902,524370,Bodal Chemicals Ltd,,
903,539201,SATIA INDUSTRIES LIMITED,,
904,531120,Patel Engineering Ltd,,
905,540124,G N A Axles Limited,,
906,512267,Media Matrix Worldwide Ltd.,,
907,533262,Ramky Infrastructure Limited,,
908,500039,"Banco Products (India) Ltd.,",,
909,524774,NGL Fine Chem Ltd.,,
910,500136,"Ester Industries Ltd.,",,
911,532366,PNB Gilts Ltd,,
912,511742,UGRO CAPITAL LIMITED,,
913,539636,Precision Camshafts Limited,,
914,543264,Nureca Limited,,
915,543233,Chemcon Speciality Chemicals Limited,,
916,532782,SUTLEJ TEXTILES & INDUSTRIES LIMITED,,
917,543249,TARC LIMITED,,
918,524280,"Kopran Ltd.,",,
919,532475,Aptech Ltd.,,
920,507205,Tilaknagar Industries Ltd,,
921,531147,Alicon Castalloy Limited,,
922,532617,Jet Airways (India) Ltd,,
923,532440,MPS Limited,,
924,513250,"Jyoti Structures Ltd.,",,
925,507747,"TTK Healthcare Ltd.,",,
926,531209,Nucleus Software Exports Ltd,,
927,543451,AGS TRANSACT TECHNOLOGIES LIMITED,,
928,539594,Mishtann Foods Limited,,
929,531978,Ambika Cotton Mills Ltd.,,
930,533272,JUPITER WAGONS LIMITED,,
931,507488,G.M. Breweries Ltd.,,
932,543279,Suryoday Small Finance Bank Limited,,
933,506022,"Prakash Industries Ltd.,",,
934,530239,Suven Life Sciences Ltd.,,
935,500280,"Century Enka Ltd.,",,
936,517206,"Lumax Industries Ltd.,",,
937,500314,"Oriental Hotels Ltd.,",,
938,500117,"DCW Ltd.,",,
939,526173,Andrew Yule & Company Ltd,,
940,526521,Sanghi Industries Ltd.,,
941,512379,Cressanda Solutions Ltd.,,
942,542323,KPI Green Energy Limited,,
943,539678,Quick Heal Technologies Limited,,
944,504000,"Elpro International Ltd.,",,
945,527001,Ashapura Minechem Ltd,,
946,533259,Sastasundar Ventures Limited,,
947,533303,BF Investment Limited,,
948,506390,Clariant Chemicals (India) Limited,,
949,535322,Repco Home Finance Limited,,
950,523391,Nahar Polyfilms Ltd.,,
951,513349,Ajmera Realty & Infra India Limited,,
952,507794,Khaitan Chemicals & Fertilizers Ltd,,
953,532054,KDDL Ltd,,
954,539436,Coffee Day Enterprises Limited,,
955,509874,Shalimar Paints Ltd.,,
956,517380,Igarashi Motors India Ltd.,,
957,501150,Centrum Capital Limited,,
958,532309,GE Power India Limited,,
959,532794,Zee Media Corporation Limited,,
960,533344,PTC India Financial Services Limited,,
961,500439,Vardhman Holdings Limited,,
962,540774,IFGL Refractories Limited,,